#id	parent name
species:ncbi:3435	Persea
species:ncbi:3438	Umbellularia
species:ncbi:261450	Coptis
species:ncbi:555479	Nigella
species:ncbi:3447	Ranunculus
species:ncbi:3449	Caltha
species:ncbi:3451	Aquilegia
species:ncbi:231652	Clematis
species:ncbi:3457	Dioscoreophyllum
species:ncbi:79760	Coriaria
species:ncbi:458692	Corydalis
species:ncbi:3467	Eschscholzia
species:ncbi:3469	Papaver
species:ncbi:3472	Sanguinaria
species:ncbi:3476	Parasponia
species:ncbi:28954	Trema
species:ncbi:3483	Cannabis
species:ncbi:3486	Humulus
species:ncbi:3489	Artocarpus
species:ncbi:182105	Ficus
species:ncbi:3496	Maclura
species:ncbi:3498	Morus
species:ncbi:3501	Urtica
species:ncbi:3505	Betula
species:ncbi:29739	Myrica
species:ncbi:38942	Quercus
species:ncbi:3517	Alnus
species:ncbi:3523	Casuarina
species:ncbi:3527	Phytolacca
species:ncbi:3533	Rivina
species:ncbi:3535	Stegnosperma
species:ncbi:3538	Mirabilis
species:ncbi:146096	Bougainvillea
species:ncbi:3544	Mesembryanthemum
species:ncbi:3548	Trianthema
species:ncbi:240028	Atriplex
species:ncbi:161934	Beta
species:ncbi:63459	Chenopodium
species:ncbi:3562	Spinacia
species:ncbi:3567	Amaranthus
species:ncbi:3570	Dianthus
species:ncbi:3572	Saponaria
species:ncbi:37657	Silene
species:ncbi:305651	Arenaria
species:ncbi:271556	Cerastium
species:ncbi:46147	Portulaca
species:ncbi:3586	Alluaudia
species:ncbi:3589	Basella
species:ncbi:254024	Mollugo
species:ncbi:3595	Schlumbergera
species:ncbi:154401	Pereskia
species:ncbi:3600	Phaulothamnus
species:ncbi:29760	Vitis
species:ncbi:3607	Parthenocissus
species:ncbi:280017	Rhamnus
species:ncbi:262928	Colletia
species:ncbi:3617	Fagopyrum
species:ncbi:41241	Rumex
species:ncbi:3621	Rheum
species:ncbi:3627	Actinidia
species:ncbi:3631	Abutilon
species:ncbi:3635	Gossypium
species:ncbi:3638	Thespesia
species:ncbi:3641	Theobroma
species:ncbi:3645	Bertholletia
species:ncbi:3649	Carica
species:ncbi:3652	Bryonia
species:ncbi:260674	Citrullus
species:ncbi:3659	Cucumis
species:ncbi:3663	Cucurbita
species:ncbi:3668	Lagenaria
species:ncbi:3670	Luffa
species:ncbi:3673	Momordica
species:ncbi:3677	Trichosanthes
species:ncbi:3679	Ecballium
species:ncbi:200009	Begonia
species:ncbi:78168	Passiflora
species:ncbi:3694	Populus
species:ncbi:3702	Arabidopsis
species:ncbi:3704	Armoracia
species:ncbi:3708	Brassica
species:ncbi:3719	Capsella
species:ncbi:3721	Crambe
species:ncbi:3724	Matthiola
species:ncbi:3726	Raphanus
species:ncbi:3728	Sinapis
species:ncbi:3730	Sisymbrium
species:ncbi:3732	Diplotaxis
species:ncbi:3735	Moringa
species:ncbi:3741	Manilkara
species:ncbi:3747	Fragaria
species:ncbi:3750	Malus
species:ncbi:3760	Prunus
species:ncbi:321607	Geum
species:ncbi:74635	Rosa
species:ncbi:23211	Pyrus
species:ncbi:3770	Byblis
species:ncbi:3772	Roridula
species:ncbi:384952	Ceratopetalum
species:ncbi:140435	Weinmannia
species:ncbi:300479	Crassula
species:ncbi:439688	Sedum
species:ncbi:92928	Eucryphia
species:ncbi:71990	Heuchera
species:ncbi:38862	Parnassia
species:ncbi:29771	Saxifraga
species:ncbi:78511	Ribes
species:ncbi:3806	Bauhinia
species:ncbi:138033	Acacia
species:ncbi:3811	Adenanthera
species:ncbi:3813	Albizia
species:ncbi:3816	Abrus
species:ncbi:3818	Arachis
species:ncbi:3821	Cajanus
species:ncbi:3823	Canavalia
species:ncbi:3827	Cicer
species:ncbi:3829	Crotalaria
species:ncbi:3832	Cyamopsis
species:ncbi:3835	Cytisus
species:ncbi:3837	Dioclea
species:ncbi:3843	Erythrina
species:ncbi:3847	Glycine
species:ncbi:3850	Griffonia
species:ncbi:49828	Laburnum
species:ncbi:3860	Lathyrus
species:ncbi:3864	Lens
species:ncbi:3866	Leucaena
species:ncbi:34305	Lotus
species:ncbi:3870	Lupinus
species:ncbi:3876	Macrotyloma
species:ncbi:3879	Medicago
species:ncbi:3882	Onobrychis
species:ncbi:3885	Phaseolus
species:ncbi:3888	Pisum
species:ncbi:3891	Psophocarpus
species:ncbi:109224	Pueraria
species:ncbi:3895	Sesbania
species:ncbi:49840	Sophora
species:ncbi:57577	Trifolium
species:ncbi:3902	Ulex
species:ncbi:3906	Vicia
species:ncbi:3917	Vigna
species:ncbi:3922	Wisteria
species:ncbi:185720	Lonchocarpus
species:ncbi:3930	Cuphea
species:ncbi:34317	Eucalyptus
species:ncbi:36903	Clarkia
species:ncbi:3950	Oenothera
species:ncbi:3956	Quisqualis
species:ncbi:3960	Pyrularia
species:ncbi:3962	Buckleya
species:ncbi:3966	Dendrophthora
species:ncbi:3970	Phoradendron
species:ncbi:3972	Viscum
species:ncbi:3975	Schoepfia
species:ncbi:3979	Gelonium
species:ncbi:3981	Hevea
species:ncbi:3983	Manihot
species:ncbi:3986	Mercurialis
species:ncbi:3988	Ricinus
species:ncbi:37495	Euphorbia
species:ncbi:180498	Jatropha
species:ncbi:3999	Simmondsia
species:ncbi:4002	Buxus
species:ncbi:4006	Linum
species:ncbi:298661	Rhus
species:ncbi:300214	Bursera
species:ncbi:4020	Tropaeolum
species:ncbi:4024	Acer
species:ncbi:70270	Geranium
species:ncbi:4031	Pelargonium
species:ncbi:50475	Oxalis
species:ncbi:4039	Daucus
species:ncbi:4041	Pastinaca
species:ncbi:4043	Petroselinum
species:ncbi:4045	Apium
species:ncbi:4047	Coriandrum
species:ncbi:4049	Hydrocotyle
species:ncbi:4052	Hedera
species:ncbi:4054	Panax
species:ncbi:4058	Catharanthus
species:ncbi:4060	Rauvolfia
species:ncbi:141467	Calotropis
species:ncbi:4068	Gymnema
species:ncbi:4072	Capsicum
species:ncbi:4076	Datura
species:ncbi:4079	Hyoscyamus
species:ncbi:4097	Nicotiana
species:ncbi:4102	Petunia
species:ncbi:4081	Solanum
species:ncbi:4120	Ipomoea
species:ncbi:4123	Convolvulus
species:ncbi:4129	Cuscuta
species:ncbi:4132	Eriodictyon
species:ncbi:4138	Leonurus
species:ncbi:65409	Scutellaria
species:ncbi:4146	Olea
species:ncbi:126433	Jasminum
species:ncbi:4151	Antirrhinum
species:ncbi:4153	Craterostigma
species:ncbi:4155	Mimulus
species:ncbi:4164	Digitalis
species:ncbi:68872	Striga
species:ncbi:160511	Veronica
species:ncbi:4177	Epifagus
species:ncbi:4179	Conopholis
species:ncbi:4182	Sesamum
species:ncbi:222879	Harpagophytum
species:ncbi:328118	Aphelandra
species:ncbi:101743	Barleria
species:ncbi:141992	Justicia
species:ncbi:4193	Nelsonia
species:ncbi:204362	Pinguicula
species:ncbi:4202	Sambucus
species:ncbi:85293	Viburnum
species:ncbi:4208	Adoxa
species:ncbi:4212	Ambrosia
species:ncbi:4217	Arctium
species:ncbi:4220	Artemisia
species:ncbi:4222	Carthamus
species:ncbi:4227	Flaveria
species:ncbi:4230	Guizotia
species:ncbi:4232	Helianthus
species:ncbi:4236	Lactuca
species:ncbi:4238	Barnadesia
species:ncbi:186957	Ligularia
species:ncbi:76672	Argyroxiphium
species:ncbi:436207	Arnica
species:ncbi:76675	Dubautia
species:ncbi:4255	Madia
species:ncbi:59895	Cynara
species:ncbi:4270	Byrsonima
species:ncbi:355332	Polygala
species:ncbi:16906	Cornus
species:ncbi:4288	Garrya
species:ncbi:4292	Nyssa
species:ncbi:185542	Ilex
species:ncbi:4302	Nemopanthus
species:ncbi:4304	Phelline
species:ncbi:212708	Euonymus
species:ncbi:4312	Corynocarpus
species:ncbi:544661	Dichapetalum
species:ncbi:4323	Icacina
species:ncbi:4326	Salvadora
species:ncbi:60698	Macadamia
species:ncbi:4332	Protea
species:ncbi:4337	Anagallis
species:ncbi:4341	Cyrilla
species:ncbi:64689	Epacris
species:ncbi:49170	Rhododendron
species:ncbi:4349	Pterospora
species:ncbi:4351	Sarcodes
species:ncbi:4355	Darlingtonia
species:ncbi:45176	Sarracenia
species:ncbi:4362	Dionaea
species:ncbi:173423	Drosera
species:ncbi:4373	Drosophyllum
species:ncbi:4376	Nepenthes
species:ncbi:4378	Dillenia
species:ncbi:308559	Lobelia
species:ncbi:182071	Daphniphyllum
species:ncbi:4392	Eucommia
species:ncbi:4397	Hamamelis
species:ncbi:4400	Liquidambar
species:ncbi:140101	Platanus
species:ncbi:4407	Trochodendron
species:ncbi:4412	Barclaya
species:ncbi:4414	Euryale
species:ncbi:77113	Nuphar
species:ncbi:34301	Nymphaea
species:ncbi:85961	Victoria
species:ncbi:4424	Brasenia
species:ncbi:4426	Cabomba
species:ncbi:4428	Ceratophyllum
species:ncbi:4432	Nelumbo
species:ncbi:4436	Batis
species:ncbi:76149	Plumbago
species:ncbi:4442	Camellia
species:ncbi:15008	Sagittaria
species:ncbi:4456	Alocasia
species:ncbi:4458	Arum
species:ncbi:4460	Colocasia
species:ncbi:4465	Acorus
species:ncbi:4472	Lemna
species:ncbi:29656	Spirodela
species:ncbi:4477	Pistia
species:ncbi:37682	Aegilops
species:ncbi:4498	Avena
species:ncbi:4502	Bromus
species:ncbi:4505	Coix
species:ncbi:4509	Dactylis
species:ncbi:4511	Eleusine
species:ncbi:4513	Hordeum
species:ncbi:4522	Lolium
species:ncbi:463416	Neurachne
species:ncbi:4530	Oryza
species:ncbi:38727	Panicum
species:ncbi:4543	Pennisetum
species:ncbi:4545	Poa
species:ncbi:4547	Saccharum
species:ncbi:4550	Secale
species:ncbi:4555	Setaria
species:ncbi:4558	Sorghum
species:ncbi:4563	Tripsacum
species:ncbi:4565	Triticum
species:ncbi:381124	Zea
species:ncbi:207296	Bambusa
species:ncbi:35872	Cenchrus
species:ncbi:4586	Psathyrostachys
species:ncbi:85679	Thinopyrum
species:ncbi:4591	Arundinaria
species:ncbi:4593	Agropyron
species:ncbi:4595	Amblyopyrum
species:ncbi:4597	Australopyrum
species:ncbi:4606	Festuca
species:ncbi:76434	Cyperus
species:ncbi:4615	Ananas
species:ncbi:446868	Bromelia
species:ncbi:4621	Thaumatococcus
species:ncbi:4623	Calathea
species:ncbi:4628	Canna
species:ncbi:328783	Costus
species:ncbi:4639	Ensete
species:ncbi:4641	Musa
species:ncbi:71610	Hedychium
species:ncbi:94328	Zingiber
species:ncbi:446146	Heliconia
species:ncbi:4662	Phenakospermum
species:ncbi:4664	Ravenala
species:ncbi:255355	Strelitzia
species:ncbi:4670	Galanthus
species:ncbi:55581	Dioscorea
species:ncbi:4682	Allium
species:ncbi:4686	Asparagus
species:ncbi:4690	Lilium
species:ncbi:4694	Medeola
species:ncbi:231486	Hippeastrum
species:ncbi:39639	Narcissus
species:ncbi:4700	Uvularia
species:ncbi:49652	Scilla
species:ncbi:93237	Calamus
species:ncbi:4714	Caryota
species:ncbi:4718	Nypa
